date,is_open,tdid,did
20180703,1,14479,106759
20180704,1,14480,106760
20180705,1,14481,106761
20180706,1,14482,106762
20180707,0,14482,106763
20180708,0,14482,106764
20180709,1,14483,106765
20180710,1,14484,106766
20180711,1,14485,106767
20180712,1,14486,106768
20180713,1,14487,106769
20180714,0,14487,106770
20180715,0,14487,106771
20180716,1,14488,106772
20180717,1,14489,106773
20180718,1,14490,106774
20180719,1,14491,106775
20180720,1,14492,106776
20180721,0,14492,106777
20180722,0,14492,106778
20180723,1,14493,106779
20180724,1,14494,106780
20180725,1,14495,106781
20180726,1,14496,106782
20180727,1,14497,106783
20180728,0,14497,106784
20180729,0,14497,106785
20180730,1,14498,106786
20180731,1,14499,106787
20180801,1,14500,106788
20180802,1,14501,106789
20180803,1,14502,106790
20180804,0,14502,106791
20180805,0,14502,106792
20180806,1,14503,106793
20180807,1,14504,106794
20180808,1,14505,106795
20180809,1,14506,106796
20180810,1,14507,106797
20180811,0,14507,106798
20180812,0,14507,106799
20180813,1,14508,106800
20180814,1,14509,106801
20180815,1,14510,106802
20180816,1,14511,106803
20180817,1,14512,106804
20180818,0,14512,106805
20180819,0,14512,106806
20180820,1,14513,106807
20180821,1,14514,106808
20180822,1,14515,106809
20180823,1,14516,106810
20180824,1,14517,106811
20180825,0,14517,106812
20180826,0,14517,106813
20180827,1,14518,106814
20180828,1,14519,106815
20180829,1,14520,106816
20180830,1,14521,106817
20180831,1,14522,106818
20180901,0,14522,106819
20180902,0,14522,106820
20180903,1,14523,106821
20180904,1,14524,106822
20180905,1,14525,106823
20180906,1,14526,106824
20180907,1,14527,106825
20180908,0,14527,106826
20180909,0,14527,106827
20180910,1,14528,106828
20180911,1,14529,106829
20180912,1,14530,106830
20180913,1,14531,106831
20180914,1,14532,106832
20180915,0,14532,106833
20180916,0,14532,106834
20180917,1,14533,106835
20180918,1,14534,106836
20180919,1,14535,106837
20180920,1,14536,106838
20180921,1,14537,106839
20180922,0,14537,106840
20180923,0,14537,106841
20180924,0,14537,106842
20180925,1,14538,106843
20180926,1,14539,106844
20180927,1,14540,106845
20180928,1,14541,106846
20180929,0,14541,106847
20180930,0,14541,106848
20181001,0,14541,106849
20181002,0,14541,106850
20181003,0,14541,106851
20181004,0,14541,106852
20181005,0,14541,106853
20181006,0,14541,106854
20181007,0,14541,106855
20181008,1,14542,106856
20181009,1,14543,106857
20181010,1,14544,106858
20181011,1,14545,106859
20181012,1,14546,106860
20181013,0,14546,106861
20181014,0,14546,106862
20181015,1,14547,106863
20181016,1,14548,106864
20181017,1,14549,106865
20181018,1,14550,106866
20181019,1,14551,106867
20181020,0,14551,106868
20181021,0,14551,106869
20181022,1,14552,106870
20181023,1,14553,106871
20181024,1,14554,106872
20181025,1,14555,106873
20181026,1,14556,106874
20181027,0,14556,106875
20181028,0,14556,106876
20181029,1,14557,106877
20181030,1,14558,106878
20181031,1,14559,106879
20181101,1,14560,106880
20181102,1,14561,106881
20181103,0,14561,106882
20181104,0,14561,106883
20181105,1,14562,106884
20181106,1,14563,106885
20181107,1,14564,106886
20181108,1,14565,106887
20181109,1,14566,106888
20181110,0,14566,106889
20181111,0,14566,106890
20181112,1,14567,106891
20181113,1,14568,106892
20181114,1,14569,106893
20181115,1,14570,106894
20181116,1,14571,106895
20181117,0,14571,106896
20181118,0,14571,106897
20181119,1,14572,106898
20181120,1,14573,106899
20181121,1,14574,106900
20181122,1,14575,106901
20181123,1,14576,106902
20181124,0,14576,106903
20181125,0,14576,106904
20181126,1,14577,106905
20181127,1,14578,106906
20181128,1,14579,106907
20181129,1,14580,106908
20181130,1,14581,106909
20181201,0,14581,106910
20181202,0,14581,106911
20181203,1,14582,106912
20181204,1,14583,106913
20181205,1,14584,106914
20181206,1,14585,106915
20181207,1,14586,106916
20181208,0,14586,106917
20181209,0,14586,106918
20181210,1,14587,106919
20181211,1,14588,106920
20181212,1,14589,106921
20181213,1,14590,106922
20181214,1,14591,106923
20181215,0,14591,106924
20181216,0,14591,106925
20181217,1,14592,106926
20181218,1,14593,106927
20181219,1,14594,106928
20181220,1,14595,106929
20181221,1,14596,106930
20181222,0,14596,106931
20181223,0,14596,106932
20181224,1,14597,106933
20181225,1,14598,106934
20181226,1,14599,106935
