ts_code,symbol,name,list_date,list_status
000665.SZ,000665,湖北广电,19961210,L
000666.SZ,000666,经纬纺机,19961210,L
000667.SZ,000667,美好置业,19961205,L
000668.SZ,000668,荣丰控股,19961210,L
000669.SZ,000669,ST金鸿,19961210,L
000671.SZ,000671,阳光城,19961218,L
000672.SZ,000672,上峰水泥,19961218,L
000673.SZ,000673,*ST当代,19970124,L
000676.SZ,000676,智度股份,19961224,L
000677.SZ,000677,恒天海龙,19961226,L
000678.SZ,000678,襄阳轴承,19970106,L
000679.SZ,000679,大连友谊,19970124,L
000680.SZ,000680,山推股份,19970122,L
000681.SZ,000681,视觉中国,19970121,L
000682.SZ,000682,东方电子,19970121,L
000683.SZ,000683,远兴能源,19970131,L
000685.SZ,000685,中山公用,19970123,L
000686.SZ,000686,东北证券,19970227,L
000687.SZ,000687,*ST华讯,19970221,L
000688.SZ,000688,国城矿业,19970120,L
000690.SZ,000690,宝新能源,19970128,L
000691.SZ,000691,亚太实业,19970228,L
000692.SZ,000692,惠天热电,19970227,L
000695.SZ,000695,滨海能源,19970218,L
000697.SZ,000697,炼石航空,19970325,L
000698.SZ,000698,沈阳化工,19970220,L
000700.SZ,000700,模塑科技,19970228,L
000701.SZ,000701,厦门信达,19970226,L
000702.SZ,000702,正虹科技,19970318,L
000703.SZ,000703,恒逸石化,19970328,L
000705.SZ,000705,浙江震元,19970410,L
000707.SZ,000707,*ST双环,19970415,L
000708.SZ,000708,中信特钢,19970326,L
000709.SZ,000709,河钢股份,19970416,L
000710.SZ,000710,贝瑞基因,19970422,L
000711.SZ,000711,京蓝科技,19970411,L
000712.SZ,000712,锦龙股份,19970415,L
000713.SZ,000713,丰乐种业,19970422,L
000715.SZ,000715,中兴商业,19970508,L
000716.SZ,000716,黑芝麻,19970418,L
000717.SZ,000717,韶钢松山,19970508,L
000718.SZ,000718,苏宁环球,19970408,L
000719.SZ,000719,中原传媒,19970331,L
000720.SZ,000720,新能泰山,19970509,L
000721.SZ,000721,西安饮食,19970430,L
000722.SZ,000722,湖南发展,19970522,L
000723.SZ,000723,美锦能源,19970515,L
000725.SZ,000725,京东方A,20010112,L
000726.SZ,000726,鲁泰A,20001225,L
000727.SZ,000727,冠捷科技,19970520,L
000728.SZ,000728,国元证券,19970616,L
000729.SZ,000729,燕京啤酒,19970716,L
000731.SZ,000731,四川美丰,19970617,L
000732.SZ,000732,泰禾集团,19970704,L
000733.SZ,000733,振华科技,19970703,L
000735.SZ,000735,罗牛山,19970611,L
000736.SZ,000736,中交地产,19970425,L
000737.SZ,000737,南风化工,19970428,L
000738.SZ,000738,航发控制,19970626,L
000739.SZ,000739,普洛药业,19970509,L
000750.SZ,000750,国海证券,19970709,L
000751.SZ,000751,锌业股份,19970626,L
000752.SZ,000752,*ST西发,19970625,L
000753.SZ,000753,漳州发展,19970626,L
000755.SZ,000755,山西路桥,19970627,L
000756.SZ,000756,新华制药,19970806,L
000757.SZ,000757,浩物股份,19970627,L
000758.SZ,000758,中色股份,19970416,L
000759.SZ,000759,中百集团,19970519,L
000761.SZ,000761,本钢板材,19980115,L
000762.SZ,000762,西藏矿业,19970708,L
000766.SZ,000766,通化金马,19970430,L
000767.SZ,000767,晋控电力,19970609,L
000768.SZ,000768,中航西飞,19970626,L
000776.SZ,000776,广发证券,19970611,L
000777.SZ,000777,中核科技,19970710,L
000778.SZ,000778,新兴铸管,19970606,L
000779.SZ,000779,甘咨询,19970528,L
000780.SZ,000780,ST平能,19970606,L
000782.SZ,000782,美达股份,19970619,L
000783.SZ,000783,长江证券,19970731,L
000785.SZ,000785,居然之家,19970711,L
000786.SZ,000786,北新建材,19970606,L
000788.SZ,000788,北大医药,19970616,L
000789.SZ,000789,万年青,19970923,L
000790.SZ,000790,华神科技,19980327,L
000791.SZ,000791,甘肃电投,19971014,L
000792.SZ,000792,盐湖股份,19970904,L
000793.SZ,000793,华闻集团,19970729,L
000795.SZ,000795,英洛华,19970808,L
000796.SZ,000796,凯撒旅业,19970703,L
000797.SZ,000797,中国武夷,19970715,L
