V1,V2
20040316,1
20040317,1
20040318,1
20040319,1
20040322,1
20040323,1
20040324,1
20040325,1
20040326,1
20040329,1
20040330,1
20040331,1
20040401,1
20040402,1
20040405,1
20040406,1
20040407,1
20040408,1
20040409,1
20040412,1
20040413,1
20040414,1
20040415,1
20040416,1
20040419,1
20040420,1
20040421,1
20040422,1
20040423,1
20040426,1
20040427,1
20040428,1
20040429,1
20040430,1
20040510,1
20040511,1
20040512,1
20040513,1
20040514,1
20040517,1
20040518,1
20040519,1
20040520,1
20040521,1
20040524,1
20040525,1
20040526,1
20040527,1
20040528,1
20040531,1
20040601,1
20040602,1
20040603,1
20040604,1
20040607,1
20040608,1
20040609,1
20040610,1
20040611,1
20040614,1
20040615,1
20040616,1
20040617,1
20040618,1
20040621,1
20040622,1
20040623,1
20040624,1
20040625,1
20040628,1
20040629,1
20040630,1
20040701,1
20040702,1
20040705,1
20040706,1
20040707,1
20040708,1
20040709,1
20040712,1
20040713,1
20040714,1
20040715,1
20040716,1
20040719,1
20040720,1
20040721,1
20040722,1
20040723,1
20040726,1
20040727,1
20040728,1
20040729,1
20040730,1
20040802,1
20040803,1
20040804,1
20040805,1
20040806,1
20040809,1
20040810,1
20040811,1
20040812,1
20040813,1
20040816,1
20040817,1
20040818,1
20040819,1
20040820,1
20040823,1
20040824,1
20040825,1
20040826,1
20040827,1
20040830,1
20040831,1
20040901,1
20040902,1
20040903,1
20040906,1
20040907,1
20040908,1
20040909,1
20040910,1
20040913,1
20040914,1
20040915,1
20040916,1
20040917,1
20040920,1
20040921,1
20040922,1
20040923,1
20040924,1
20040927,1
20040928,1
20040929,1
20040930,1
20041008,1
20041011,1
20041012,1
20041013,1
20041014,1
20041015,1
20041018,1
20041019,1
20041020,1
20041021,1
20041022,1
20041025,1
20041026,1
20041027,1
20041028,1
20041029,1
20041101,1
20041102,1
20041103,1
20041104,1
20041105,1
20041108,1
20041109,1
20041110,1
20041111,1
20041112,1
20041115,1
20041116,1
20041117,1
20041118,1
20041119,1
20041122,1
20041123,1
20041124,1
20041125,1
20041126,1
20041129,1
20041130,1
20041201,1
20041202,1
20041203,1
20041206,1
20041207,1
20041208,1
20041209,1
20041210,1
20041213,1
20041214,1
20041215,1
20041216,1
20041217,1
20041220,1
20041221,1
20041222,1
20041223,1
20041224,1
20041227,1
20041228,1
20041229,1
20041230,1
20041231,1
20050104,1
20050105,1
20050106,1
20050107,1
20050110,1
20050111,1
20050112,1
20050113,1
20050114,1
20050117,1
20050118,1
20050119,1
20050120,1
20050121,1
20050124,1
20050125,1
20050126,1
20050127,1
20050128,1
20050131,1
20050201,1
20050202,1
20050203,1
20050204,1
20050216,1
20050217,1
20050218,1
20050221,1
20050222,1
20050223,1
20050224,1
20050225,1
20050228,1
20050301,1
20050302,1
20050303,1
20050304,1
20050307,1
20050308,1
20050309,1
20050310,1
20050311,1
20050314,1
20050315,1
20050316,1
20050317,1
20050318,1
20050321,1
20050322,1
20050323,1
20050324,1
20050325,1
20050328,1
20050329,1
20050330,1
20050331,1
20050401,1
20050404,1
20050405,1
20050406,1
20050407,1
20050408,1
20050411,1
20050412,1
20050413,1
20050414,1
20050415,1
20050418,1
